MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
VIOLENCIA INTRAFAMILIAR ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 31 DE ENERO DEL 2024;;;;;;;
ARMA MEDIO ;DEPARTAMENTO ;MUNICIPIO ;FECHA HECHO ;GENERO ;*AGRUPA_EDAD_PERSONA;CODIGO DANE ;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;RISARALDA;Pereira (CT);13/01/2024;FEMENINO;ADULTOS;66001000;1
ARMA BLANCA / CORTOPUNZANTE;RISARALDA;Pereira (CT);18/01/2024;FEMENINO;ADULTOS;66001000;1
ARMA BLANCA / CORTOPUNZANTE;RISARALDA;Pereira (CT);28/01/2024;FEMENINO;ADULTOS;66001000;1
ARMA BLANCA / CORTOPUNZANTE;RISARALDA;Pereira (CT);31/01/2024;FEMENINO;ADULTOS;66001000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Barbosa;21/01/2024;MASCULINO;ADULTOS;68077000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Barrancabermeja;26/01/2024;FEMENINO;ADULTOS;68081000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Bucaramanga (CT);30/01/2024;MASCULINO;ADULTOS;68001000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Bucaramanga (CT);31/01/2024;FEMENINO;ADULTOS;68001000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Floridablanca;01/01/2024;FEMENINO;ADULTOS;68276000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Girón;11/01/2024;MASCULINO;ADULTOS;68307000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;Girón;20/01/2024;MASCULINO;ADULTOS;68307000;1
ARMA BLANCA / CORTOPUNZANTE;SANTANDER;San Vicente de Chucurí;15/01/2024;FEMENINO;ADULTOS;68689000;1
ARMA BLANCA / CORTOPUNZANTE;SUCRE;Corozal;28/01/2024;FEMENINO;ADULTOS;70215000;1
ARMA BLANCA / CORTOPUNZANTE;SUCRE;San Pedro;07/01/2024;FEMENINO;ADULTOS;70717000;1
ARMA BLANCA / CORTOPUNZANTE;TOLIMA;Cajamarca;15/01/2024;FEMENINO;ADULTOS;73124000;1
ARMA BLANCA / CORTOPUNZANTE;TOLIMA;Ibagué (CT);01/01/2024;FEMENINO;ADULTOS;73001000;2
ARMA BLANCA / CORTOPUNZANTE;TOLIMA;Ibagué (CT);02/01/2024;MASCULINO;ADULTOS;73001000;1
ARMA BLANCA / CORTOPUNZANTE;TOLIMA;Ibagué (CT);07/01/2024;FEMENINO;ADULTOS;73001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Buenaventura;21/01/2024;FEMENINO;ADULTOS;76109000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);01/01/2024;FEMENINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);01/01/2024;MASCULINO;ADULTOS;76001000;2
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);02/01/2024;FEMENINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);02/01/2024;FEMENINO;MENORES;76001000;3
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);09/01/2024;MASCULINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);14/01/2024;MASCULINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);14/01/2024;MASCULINO;MENORES;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);19/01/2024;FEMENINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);23/01/2024;MASCULINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);26/01/2024;FEMENINO;ADOLESCENTES;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);27/01/2024;FEMENINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Cali (CT);27/01/2024;MASCULINO;ADULTOS;76001000;1
ARMA BLANCA / CORTOPUNZANTE;VALLE;Tuluá;18/01/2024;MASCULINO;ADULTOS;76834000;1
ARMA DE FUEGO;ATLÁNTICO;Soledad;05/01/2024;FEMENINO;ADULTOS;08758000;1
ARMA DE FUEGO;BOYACÁ;Tunja (CT);10/01/2024;FEMENINO;ADULTOS;15001000;1
ARMA DE FUEGO;CAUCA;Argelia;23/01/2024;FEMENINO;ADULTOS;19050000;1
ARMA DE FUEGO;CAUCA;Patía;11/01/2024;FEMENINO;ADULTOS;19532000;1
ARMA DE FUEGO;CUNDINAMARCA;Bogotá D.C. (CT);15/01/2024;FEMENINO;ADULTOS;11001000;1
ARMA DE FUEGO;HUILA;Neiva (CT);12/01/2024;FEMENINO;ADULTOS;41001000;1
ARMA DE FUEGO;META;Villavicencio (CT);14/01/2024;FEMENINO;ADULTOS;50001000;1
ARMA DE FUEGO;VALLE;Cali (CT);01/01/2024;FEMENINO;ADULTOS;76001000;1
CONTUNDENTES;ANTIOQUIA;Apartadó;25/01/2024;FEMENINO;ADULTOS;05045000;1
CONTUNDENTES;ANTIOQUIA;Bello;22/01/2024;MASCULINO;ADULTOS;05088000;1
CONTUNDENTES;ANTIOQUIA;Chigorodó;08/01/2024;FEMENINO;ADULTOS;05172000;1
CONTUNDENTES;ANTIOQUIA;Cisneros;05/01/2024;MASCULINO;ADULTOS;05190000;1
CONTUNDENTES;ANTIOQUIA;Cisneros;21/01/2024;FEMENINO;ADULTOS;05190000;1
CONTUNDENTES;ANTIOQUIA;Ciudad Bolívar;07/01/2024;FEMENINO;ADULTOS;05101000;1
CONTUNDENTES;ANTIOQUIA;Jericó;06/01/2024;FEMENINO;ADULTOS;05368000;1
CONTUNDENTES;ANTIOQUIA;Jericó;06/01/2024;MASCULINO;ADULTOS;05368000;1
CONTUNDENTES;ANTIOQUIA;Medellín (CT);01/01/2024;MASCULINO;ADULTOS;05001000;1
CONTUNDENTES;ANTIOQUIA;Medellín (CT);17/01/2024;FEMENINO;ADULTOS;05001000;1
CONTUNDENTES;ANTIOQUIA;Medellín (CT);21/01/2024;FEMENINO;ADULTOS;05001000;2
CONTUNDENTES;ANTIOQUIA;Medellín (CT);22/01/2024;FEMENINO;ADULTOS;05001000;1
CONTUNDENTES;ANTIOQUIA;Medellín (CT);28/01/2024;FEMENINO;ADULTOS;05001000;1
CONTUNDENTES;ANTIOQUIA;Medellín (CT);31/01/2024;MASCULINO;ADULTOS;05001000;1
CONTUNDENTES;ANTIOQUIA;Puerto Berrío;10/01/2024;MASCULINO;ADULTOS;05579000;1
CONTUNDENTES;ANTIOQUIA;Puerto Berrío;26/01/2024;FEMENINO;ADULTOS;05579000;1
CONTUNDENTES;ANTIOQUIA;Rionegro;29/01/2024;FEMENINO;ADULTOS;05615000;1
CONTUNDENTES;ANTIOQUIA;Sabaneta;01/01/2024;FEMENINO;ADULTOS;05631000;1
CONTUNDENTES;ANTIOQUIA;San Carlos;05/01/2024;FEMENINO;ADULTOS;05649000;1
CONTUNDENTES;ANTIOQUIA;San Juan de Urabá;15/01/2024;MASCULINO;ADULTOS;05659000;1
CONTUNDENTES;ANTIOQUIA;Santa Bárbara;11/01/2024;MASCULINO;ADULTOS;05679000;1
CONTUNDENTES;ANTIOQUIA;Santo Domingo;16/01/2024;FEMENINO;ADULTOS;05690000;1
CONTUNDENTES;ANTIOQUIA;Sopetrán;24/01/2024;FEMENINO;ADULTOS;05761000;1
CONTUNDENTES;ANTIOQUIA;Toledo;28/01/2024;FEMENINO;ADULTOS;05819000;1
CONTUNDENTES;ANTIOQUIA;Turbo;12/01/2024;FEMENINO;ADULTOS;05837000;1
CONTUNDENTES;ANTIOQUIA;Valparaíso;30/01/2024;FEMENINO;ADULTOS;05856000;1
CONTUNDENTES;ANTIOQUIA;Yolombó;03/01/2024;MASCULINO;ADULTOS;05890000;1
CONTUNDENTES;ARAUCA;Saravena;20/01/2024;FEMENINO;ADULTOS;81736000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);01/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);02/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);04/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);05/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);07/01/2024;FEMENINO;ADULTOS;08001000;2
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);08/01/2024;MASCULINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);09/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);10/01/2024;FEMENINO;ADULTOS;08001000;3
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);11/01/2024;FEMENINO;ADULTOS;08001000;2
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);12/01/2024;MASCULINO;ADOLESCENTES;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);12/01/2024;MASCULINO;MENORES;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);13/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);14/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);14/01/2024;MASCULINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);16/01/2024;FEMENINO;ADULTOS;08001000;4
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);16/01/2024;MASCULINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);17/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);17/01/2024;MASCULINO;ADOLESCENTES;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);17/01/2024;MASCULINO;MENORES;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);18/01/2024;FEMENINO;ADULTOS;08001000;2
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);19/01/2024;FEMENINO;ADULTOS;08001000;2
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);20/01/2024;FEMENINO;ADOLESCENTES;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);22/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);23/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);24/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);28/01/2024;FEMENINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);29/01/2024;FEMENINO;ADULTOS;08001000;2
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);30/01/2024;MASCULINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Barranquilla (CT);31/01/2024;MASCULINO;ADULTOS;08001000;1
CONTUNDENTES;ATLÁNTICO;Candelaria;24/01/2024;FEMENINO;ADULTOS;08141000;1
CONTUNDENTES;ATLÁNTICO;Juan de Acosta;14/01/2024;FEMENINO;ADULTOS;08372000;1
CONTUNDENTES;ATLÁNTICO;Malambo;13/01/2024;FEMENINO;ADULTOS;08433000;1
CONTUNDENTES;ATLÁNTICO;Malambo;16/01/2024;MASCULINO;ADULTOS;08433000;1
CONTUNDENTES;ATLÁNTICO;Malambo;21/01/2024;FEMENINO;ADULTOS;08433000;1
CONTUNDENTES;ATLÁNTICO;Malambo;24/01/2024;FEMENINO;ADULTOS;08433000;1
CONTUNDENTES;ATLÁNTICO;Malambo;24/01/2024;MASCULINO;ADULTOS;08433000;1
CONTUNDENTES;ATLÁNTICO;Repelón;01/01/2024;FEMENINO;ADULTOS;08606000;1
CONTUNDENTES;ATLÁNTICO;Sabanagrande;01/01/2024;FEMENINO;ADULTOS;08634000;1
CONTUNDENTES;ATLÁNTICO;Sabanalarga;01/01/2024;FEMENINO;ADULTOS;08638000;1
CONTUNDENTES;ATLÁNTICO;Sabanalarga;01/01/2024;MASCULINO;ADULTOS;08638000;2
CONTUNDENTES;ATLÁNTICO;Sabanalarga;02/01/2024;FEMENINO;ADULTOS;08638000;1
CONTUNDENTES;ATLÁNTICO;Soledad;01/01/2024;FEMENINO;ADULTOS;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;03/01/2024;FEMENINO;ADULTOS;08758000;4
CONTUNDENTES;ATLÁNTICO;Soledad;07/01/2024;FEMENINO;ADULTOS;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;12/01/2024;FEMENINO;ADULTOS;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;13/01/2024;MASCULINO;MENORES;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;14/01/2024;FEMENINO;ADOLESCENTES;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;14/01/2024;FEMENINO;ADULTOS;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;16/01/2024;FEMENINO;ADULTOS;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;18/01/2024;FEMENINO;ADULTOS;08758000;1
CONTUNDENTES;ATLÁNTICO;Soledad;20/01/2024;FEMENINO;ADULTOS;08758000;2
CONTUNDENTES;BOLÍVAR;Arjona;19/01/2024;MASCULINO;ADULTOS;13052000;1
CONTUNDENTES;BOLÍVAR;Arroyohondo;19/01/2024;FEMENINO;ADULTOS;13062000;1
CONTUNDENTES;BOLÍVAR;Calamar;01/01/2024;FEMENINO;ADULTOS;13140000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);01/01/2024;FEMENINO;ADULTOS;13001000;5
CONTUNDENTES;BOLÍVAR;Cartagena (CT);04/01/2024;FEMENINO;ADOLESCENTES;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);04/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);06/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);08/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);09/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);11/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);16/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);21/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);21/01/2024;MASCULINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);23/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);25/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);27/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);29/01/2024;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOLÍVAR;Cartagena (CT);31/01/2024;FEMENINO;ADULTOS;13001000;2
CONTUNDENTES;BOLÍVAR;Magangué;10/01/2024;FEMENINO;ADULTOS;13430000;1
CONTUNDENTES;BOLÍVAR;Magangué;16/01/2024;FEMENINO;MENORES;13430000;1
CONTUNDENTES;BOLÍVAR;Mahates;27/01/2024;MASCULINO;ADULTOS;13433000;1
CONTUNDENTES;BOLÍVAR;Pinillos;16/01/2024;FEMENINO;ADULTOS;13549000;1
CONTUNDENTES;BOLÍVAR;San Estanislao;30/01/2024;FEMENINO;ADULTOS;13647000;1
CONTUNDENTES;BOLÍVAR;Santa Catalina;01/01/2024;FEMENINO;ADULTOS;13673000;1
CONTUNDENTES;BOYACÁ;Aquitania;13/01/2024;MASCULINO;ADULTOS;15047000;1
CONTUNDENTES;BOYACÁ;Aquitania;17/01/2024;FEMENINO;ADOLESCENTES;15047000;1
CONTUNDENTES;BOYACÁ;Aquitania;24/01/2024;FEMENINO;ADULTOS;15047000;1
CONTUNDENTES;BOYACÁ;Aquitania;25/01/2024;FEMENINO;ADULTOS;15047000;1
CONTUNDENTES;BOYACÁ;Belén;07/01/2024;FEMENINO;ADULTOS;15087000;1
CONTUNDENTES;BOYACÁ;Belén;30/01/2024;MASCULINO;ADULTOS;15087000;1
CONTUNDENTES;BOYACÁ;Boyacá;14/01/2024;MASCULINO;ADULTOS;15104000;1
CONTUNDENTES;BOYACÁ;Busbanzá;28/01/2024;FEMENINO;ADULTOS;15114000;1
CONTUNDENTES;BOYACÁ;Busbanzá;28/01/2024;MASCULINO;ADOLESCENTES;15114000;1
CONTUNDENTES;BOYACÁ;Caldas;17/01/2024;FEMENINO;ADULTOS;15131000;1
CONTUNDENTES;BOYACÁ;Caldas;17/01/2024;MASCULINO;ADULTOS;15131000;1
CONTUNDENTES;BOYACÁ;Caldas;31/01/2024;FEMENINO;ADULTOS;15131000;1
CONTUNDENTES;BOYACÁ;Cerinza;24/01/2024;FEMENINO;ADULTOS;15162000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;01/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;01/01/2024;MASCULINO;MENORES;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;08/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;11/01/2024;MASCULINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;13/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;14/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;15/01/2024;FEMENINO;ADOLESCENTES;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;15/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;15/01/2024;FEMENINO;MENORES;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;16/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;18/01/2024;FEMENINO;ADULTOS;15176000;2
CONTUNDENTES;BOYACÁ;Chiquinquirá;18/01/2024;MASCULINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;20/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;21/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;22/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;24/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;24/01/2024;MASCULINO;ADOLESCENTES;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;26/01/2024;FEMENINO;ADOLESCENTES;15176000;1
CONTUNDENTES;BOYACÁ;Chiquinquirá;28/01/2024;FEMENINO;ADULTOS;15176000;1
CONTUNDENTES;BOYACÁ;Chíquiza;17/01/2024;FEMENINO;ADULTOS;15232000;1
CONTUNDENTES;BOYACÁ;Chita;21/01/2024;MASCULINO;MENORES;15183000;1
CONTUNDENTES;BOYACÁ;Chitaraque;06/01/2024;MASCULINO;ADOLESCENTES;15185000;1
